dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
HQ-WMCA,within,,resnext101_64x4d,standard-s2,8,21532,6636,1.0000,0.0040,0.0081,0.0000,0.9928,0.0148,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s3,6,21532,6636,0.9971,0.0282,0.0177,0.0388,0.9801,0.0255,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s1,9,21532,6636,0.9991,0.0533,0.0032,0.1034,0.9863,0.0162,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s0,11,21532,6636,0.9997,0.0104,0.0165,0.0043,0.9848,0.0200,0.0062,0.9989
HQ-WMCA,within,,resnext101_64x4d,standard-s2,9,21532,6636,0.9954,0.0338,0.0274,0.0402,0.9712,0.0557,0.0102,0.9983
HQ-WMCA,within,,resnext101_64x4d,standard-s3,7,21532,6636,0.9978,0.0312,0.0135,0.0489,0.9828,0.0253,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s1,10,21532,6636,0.9974,0.0276,0.0035,0.0517,0.9914,0.0201,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s2,10,21532,6636,0.9998,0.0054,0.0035,0.0072,0.9961,0.0228,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s4,1,21532,6636,0.9834,0.0609,0.0412,0.0805,0.9546,0.0405,0.0096,0.9975
HQ-WMCA,within,,resnext101_64x4d,standard-s3,8,21532,6636,0.9977,0.0318,0.0091,0.0546,0.9861,0.0256,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s1,11,21532,6636,0.9983,0.0188,0.0032,0.0345,0.9935,0.0211,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s2,11,21532,6636,0.9999,0.0046,0.0035,0.0057,0.9962,0.0225,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s4,2,21532,6636,0.9963,0.0249,0.0168,0.0330,0.9815,0.0345,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s3,9,21532,6636,0.9988,0.0173,0.0101,0.0244,0.9884,0.0301,0.0000,1.0000
