dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s1,5,36000,24000,0.9958,0.0644,0.1233,0.0056,0.9452,0.0035,0.0041,0.9987
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s3,1,36000,24000,0.9802,0.1562,0.3042,0.0082,0.8681,0.0046,0.0111,0.9963
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s2,2,36000,24000,0.9885,0.1162,0.2240,0.0084,0.9015,0.0039,0.0089,0.9970
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s0,6,36000,24000,0.9881,0.0923,0.1778,0.0068,0.9217,0.0039,0.0024,0.9993
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s1,6,36000,24000,0.9957,0.0906,0.1767,0.0045,0.9235,0.0038,0.0010,0.9996
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s3,2,36000,24000,0.9759,0.1305,0.2505,0.0105,0.8892,0.0072,0.0091,0.9970
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s2,3,36000,24000,0.9924,0.1202,0.2377,0.0026,0.8991,0.0028,0.0031,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s0,7,36000,24000,0.9959,0.1095,0.2147,0.0042,0.9078,0.0027,0.0037,0.9990
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s1,7,36000,24000,0.9901,0.1182,0.2316,0.0047,0.9004,0.0031,0.0026,0.9990
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s3,3,36000,24000,0.9944,0.1173,0.2302,0.0043,0.9012,0.0023,0.0061,0.9981
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s2,4,36000,24000,0.9868,0.1151,0.2233,0.0069,0.9026,0.0033,0.0037,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s0,8,36000,24000,0.9946,0.1019,0.2010,0.0027,0.9144,0.0021,0.0016,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s1,8,36000,24000,0.9922,0.1037,0.2041,0.0033,0.9127,0.0027,0.0013,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s3,4,36000,24000,0.9951,0.1136,0.2239,0.0034,0.9045,0.0025,0.0064,0.9978
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s2,5,36000,24000,0.9922,0.1106,0.2135,0.0077,0.9063,0.0058,0.0044,0.9984
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s4,1,36000,24000,0.9878,0.1140,0.2114,0.0165,0.9020,0.0094,0.0098,0.9964
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s3,5,36000,24000,0.9964,0.0647,0.1257,0.0038,0.9453,0.0027,0.0036,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s2,6,36000,24000,0.9927,0.1081,0.2098,0.0064,0.9086,0.0033,0.0033,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s0,1,12000,24000,0.8873,0.1703,0.2394,0.1012,0.8410,0.1046,0.0011,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s4,2,36000,24000,0.9828,0.1617,0.3159,0.0075,0.8636,0.0041,0.0109,0.9965
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s3,6,36000,24000,0.9954,0.0944,0.1849,0.0040,0.9204,0.0022,0.0025,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s2,7,36000,24000,0.9920,0.1218,0.2364,0.0072,0.8970,0.0035,0.0079,0.9974
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s4,3,36000,24000,0.9858,0.1415,0.2764,0.0066,0.8806,0.0030,0.0040,0.9986
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s3,7,36000,24000,0.9946,0.0830,0.1602,0.0059,0.9296,0.0028,0.0059,0.9980
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s0,2,12000,24000,0.9709,0.1000,0.1867,0.0133,0.9142,0.0109,0.0022,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s2,8,36000,24000,0.9817,0.1364,0.2633,0.0095,0.8844,0.0054,0.0016,0.9993
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s4,4,36000,24000,0.9864,0.1587,0.3109,0.0064,0.8663,0.0042,0.0030,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s3,8,36000,24000,0.9914,0.0874,0.1683,0.0065,0.9258,0.0024,0.0018,0.9994
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s0,3,12000,24000,0.9782,0.0923,0.1806,0.0041,0.9221,0.0038,0.0013,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s4,5,36000,24000,0.9938,0.1121,0.2193,0.0049,0.9055,0.0018,0.0046,0.9986
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s1,1,12000,24000,0.9598,0.1040,0.1386,0.0694,0.9016,0.0543,0.0032,0.9990
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s2,1,12000,24000,0.8920,0.1701,0.2168,0.1234,0.8376,0.1102,0.0008,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s4,6,36000,24000,0.9938,0.1077,0.2097,0.0057,0.9090,0.0027,0.0058,0.9980
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s0,4,12000,24000,0.9845,0.0790,0.1542,0.0037,0.9334,0.0022,0.0013,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s1,2,12000,24000,0.9603,0.0940,0.1691,0.0188,0.9184,0.0138,0.0035,0.9991
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s4,7,36000,24000,0.9918,0.1016,0.1959,0.0073,0.9139,0.0037,0.0017,0.9993
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s2,2,12000,24000,0.9935,0.0748,0.1441,0.0055,0.9365,0.0045,0.0017,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,standard-s4,8,36000,24000,0.9956,0.0876,0.1708,0.0044,0.9260,0.0019,0.0022,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s0,5,12000,24000,0.9822,0.0643,0.1244,0.0042,0.9455,0.0018,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s1,3,12000,24000,0.9617,0.0734,0.1328,0.0140,0.9363,0.0114,0.0007,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s2,3,12000,24000,0.9906,0.0712,0.1332,0.0092,0.9390,0.0069,0.0010,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s0,6,12000,24000,0.9917,0.0833,0.1638,0.0029,0.9298,0.0026,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s3,1,12000,24000,0.8949,0.1586,0.2131,0.1042,0.8503,0.0880,0.0012,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s1,4,12000,24000,0.9814,0.0746,0.1418,0.0074,0.9364,0.0048,0.0007,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s2,4,12000,24000,0.9879,0.0778,0.1476,0.0079,0.9337,0.0057,0.0026,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s0,7,12000,24000,0.9886,0.0762,0.1498,0.0026,0.9359,0.0028,0.0029,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s3,2,12000,24000,0.9935,0.0732,0.1382,0.0082,0.9375,0.0065,0.0017,0.9996
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s1,5,12000,24000,0.9941,0.0663,0.1258,0.0068,0.9435,0.0038,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s2,5,12000,24000,0.9876,0.0696,0.1318,0.0074,0.9406,0.0050,0.0003,0.9999
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s3,3,12000,24000,0.9942,0.0521,0.0961,0.0081,0.9551,0.0046,0.0004,0.9999
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s1,6,12000,24000,0.9834,0.0876,0.1698,0.0054,0.9259,0.0032,0.0004,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s2,6,12000,24000,0.9960,0.0650,0.1249,0.0051,0.9448,0.0039,0.0004,0.9999
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s3,4,12000,24000,0.9902,0.0788,0.1502,0.0074,0.9329,0.0039,0.0019,0.9991
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s1,7,12000,24000,0.9961,0.0568,0.1071,0.0064,0.9515,0.0020,0.0025,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s0,8,36000,24000,0.9821,0.0550,0.1089,0.0011,0.9538,0.0009,0.0014,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s2,7,12000,24000,0.9907,0.0824,0.1601,0.0047,0.9303,0.0046,0.0011,0.9996
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s3,5,12000,24000,0.9922,0.0767,0.1477,0.0057,0.9350,0.0029,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s4,1,12000,24000,0.8379,0.2055,0.2538,0.1573,0.8024,0.1473,0.0002,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s3,6,12000,24000,0.9857,0.0778,0.1494,0.0062,0.9340,0.0041,0.0002,0.9999
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s4,2,12000,24000,0.9705,0.0898,0.1683,0.0112,0.9231,0.0090,0.0017,0.9996
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s1,8,36000,24000,0.9742,0.0579,0.1140,0.0018,0.9513,0.0006,0.0010,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s3,7,12000,24000,0.9906,0.0651,0.1245,0.0057,0.9447,0.0044,0.0006,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s2,8,36000,24000,0.9869,0.0709,0.1404,0.0014,0.9405,0.0004,0.0043,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s4,3,12000,24000,0.9911,0.0531,0.0978,0.0084,0.9543,0.0070,0.0002,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s0,1,12000,24000,0.9776,0.0683,0.0953,0.0414,0.9361,0.0248,0.0023,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s1,1,12000,24000,0.9636,0.0964,0.1363,0.0566,0.9101,0.0318,0.0043,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s4,4,12000,24000,0.9915,0.0756,0.1426,0.0087,0.9353,0.0091,0.0028,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s0,2,12000,24000,0.9900,0.0535,0.0959,0.0111,0.9535,0.0083,0.0013,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s1,2,12000,24000,0.9956,0.0421,0.0713,0.0130,0.9627,0.0089,0.0010,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s3,8,36000,24000,0.9963,0.0662,0.1297,0.0028,0.9442,0.0011,0.0019,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s4,5,12000,24000,0.9936,0.0639,0.1216,0.0062,0.9456,0.0038,0.0013,0.9994
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s0,3,12000,24000,0.9901,0.0745,0.1365,0.0124,0.9357,0.0100,0.0027,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s1,3,12000,24000,0.9791,0.0798,0.1391,0.0204,0.9300,0.0150,0.0031,0.9991
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s2,1,12000,24000,0.9793,0.0635,0.1126,0.0144,0.9445,0.0086,0.0010,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s4,6,12000,24000,0.9903,0.0742,0.1422,0.0061,0.9370,0.0037,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s0,4,12000,24000,0.9945,0.0704,0.1349,0.0059,0.9402,0.0043,0.0004,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s1,4,12000,24000,0.9769,0.0834,0.1525,0.0143,0.9279,0.0089,0.0019,0.9993
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s2,2,12000,24000,0.9832,0.0642,0.1194,0.0091,0.9448,0.0063,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s4,7,12000,24000,0.9803,0.0880,0.1686,0.0073,0.9253,0.0052,0.0003,0.9999
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s0,5,12000,24000,0.9709,0.0932,0.1743,0.0122,0.9200,0.0091,0.0004,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s1,5,12000,24000,0.9728,0.1088,0.2119,0.0057,0.9081,0.0076,0.0013,0.9996
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s2,3,12000,24000,0.9905,0.0472,0.0815,0.0130,0.9584,0.0083,0.0028,0.9993
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s0,6,12000,24000,0.9834,0.0744,0.1297,0.0191,0.9347,0.0121,0.0028,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s2,4,12000,24000,0.9784,0.0720,0.1320,0.0120,0.9378,0.0079,0.0012,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s1,6,12000,24000,0.9717,0.0587,0.1085,0.0088,0.9495,0.0091,0.0002,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s0,7,12000,24000,0.9962,0.0673,0.1326,0.0020,0.9434,0.0018,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-freq-s4,8,36000,24000,0.9969,0.0795,0.1589,0.0002,0.9335,0.0008,0.0014,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s2,5,12000,24000,0.9838,0.0814,0.1559,0.0069,0.9308,0.0067,0.0033,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s1,7,12000,24000,0.9943,0.0697,0.1349,0.0046,0.9410,0.0056,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s3,1,12000,24000,0.9912,0.0494,0.0881,0.0107,0.9569,0.0086,0.0021,0.9994
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s2,6,12000,24000,0.9884,0.0650,0.1172,0.0127,0.9436,0.0083,0.0015,0.9994
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s3,2,12000,24000,0.9956,0.0446,0.0811,0.0082,0.9613,0.0065,0.0009,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s2,7,12000,24000,0.9951,0.0586,0.1144,0.0028,0.9505,0.0015,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s0,8,36000,24000,0.9927,0.1232,0.2423,0.0042,0.8963,0.0036,0.0034,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s1,8,36000,24000,0.9925,0.0712,0.1410,0.0014,0.9402,0.0013,0.0026,0.9990
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s3,3,12000,24000,0.9859,0.0598,0.1051,0.0146,0.9476,0.0107,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s4,1,12000,24000,0.9785,0.0701,0.1004,0.0398,0.9349,0.0234,0.0020,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s3,4,12000,24000,0.9894,0.0747,0.1413,0.0080,0.9363,0.0066,0.0008,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s4,2,12000,24000,0.9869,0.0596,0.1103,0.0088,0.9487,0.0055,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s2,8,36000,24000,0.9944,0.0917,0.1818,0.0016,0.9231,0.0013,0.0042,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s3,5,12000,24000,0.9853,0.0845,0.1611,0.0080,0.9280,0.0052,0.0007,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s4,3,12000,24000,0.9816,0.0740,0.1227,0.0253,0.9340,0.0132,0.0026,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s0,1,36000,24000,0.9978,0.0706,0.1400,0.0011,0.9408,0.0010,0.0044,0.9987
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s3,6,12000,24000,0.9828,0.0885,0.1622,0.0147,0.9236,0.0123,0.0016,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s4,4,12000,24000,0.9493,0.1084,0.2028,0.0139,0.9071,0.0155,0.0023,0.9991
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s3,7,12000,24000,0.9911,0.0698,0.1308,0.0088,0.9402,0.0066,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s1,1,36000,24000,0.9973,0.0895,0.1768,0.0021,0.9248,0.0015,0.0046,0.9987
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s4,5,12000,24000,0.9885,0.0646,0.1235,0.0057,0.9451,0.0024,0.0004,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s0,2,36000,24000,0.9947,0.1127,0.2242,0.0011,0.9056,0.0005,0.0018,0.9994
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s4,6,12000,24000,0.9920,0.0741,0.1449,0.0033,0.9375,0.0031,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s3,8,36000,24000,0.9820,0.1039,0.2048,0.0030,0.9126,0.0013,0.0021,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s4,7,12000,24000,0.9939,0.0626,0.1183,0.0069,0.9465,0.0061,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s1,2,36000,24000,0.9951,0.0705,0.1386,0.0024,0.9407,0.0004,0.0034,0.9989
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s0,3,36000,24000,0.9728,0.2273,0.4299,0.0247,0.8059,0.0276,0.0049,0.9985
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s2,1,36000,24000,0.9988,0.0676,0.1328,0.0025,0.9430,0.0029,0.0063,0.9984
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,IBT-reverse-s4,8,36000,24000,0.9973,0.0620,0.1230,0.0010,0.9480,0.0005,0.0005,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s1,3,36000,24000,0.9960,0.0859,0.1689,0.0028,0.9277,0.0022,0.0021,0.9994
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s0,4,36000,24000,0.9809,0.2049,0.3957,0.0142,0.8263,0.0156,0.0047,0.9986
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s2,2,36000,24000,0.9991,0.0525,0.1037,0.0013,0.9559,0.0010,0.0011,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s3,1,36000,24000,0.9941,0.1029,0.2040,0.0018,0.9137,0.0004,0.0046,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s1,4,36000,24000,0.9974,0.0660,0.1305,0.0015,0.9446,0.0013,0.0010,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s0,5,36000,24000,0.9932,0.1313,0.2576,0.0049,0.8895,0.0032,0.0010,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s2,3,36000,24000,0.9986,0.0706,0.1404,0.0008,0.9408,0.0006,0.0005,0.9999
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s1,5,36000,24000,0.9964,0.0710,0.1397,0.0022,0.9403,0.0019,0.0024,0.9993
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s3,2,36000,24000,0.9972,0.0942,0.1869,0.0016,0.9210,0.0011,0.0039,0.9990
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s0,6,36000,24000,0.9957,0.0923,0.1827,0.0019,0.9225,0.0008,0.0002,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s2,4,36000,24000,0.9869,0.1348,0.2576,0.0120,0.8854,0.0111,0.0014,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s1,6,36000,24000,0.9972,0.0765,0.1516,0.0014,0.9358,0.0004,0.0007,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s3,3,36000,24000,0.9968,0.0777,0.1538,0.0016,0.9348,0.0003,0.0019,0.9994
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s0,7,36000,24000,0.9936,0.1362,0.2685,0.0039,0.8855,0.0039,0.0022,0.9994
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s2,5,36000,24000,0.9822,0.0740,0.1471,0.0009,0.9380,0.0009,0.0026,0.9993
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s1,7,36000,24000,0.9970,0.0944,0.1878,0.0011,0.9209,0.0004,0.0020,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s3,4,36000,24000,0.9773,0.0680,0.1350,0.0010,0.9430,0.0007,0.0003,0.9999
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s0,8,36000,24000,0.9943,0.1540,0.3043,0.0038,0.8706,0.0037,0.0014,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s2,6,36000,24000,0.9913,0.0716,0.1405,0.0026,0.9397,0.0012,0.0021,0.9995
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s1,8,36000,24000,0.9880,0.0844,0.1682,0.0005,0.9294,0.0008,0.0004,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s3,5,36000,24000,0.9958,0.0664,0.1299,0.0029,0.9440,0.0033,0.0016,0.9997
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s0,1,12000,24000,0.9667,0.2499,0.4975,0.0022,0.6604,0.0026,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s0,2,12000,24000,0.8831,0.2818,0.5215,0.0421,0.6313,0.0248,0.0022,0.9994
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s0,3,16000,24000,0.9470,0.3668,0.7336,0.0000,0.5002,0.0024,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s1,1,12000,24000,0.9602,0.2639,0.5207,0.0071,0.6430,0.0012,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s1,2,12000,24000,0.8174,0.3394,0.6680,0.0107,0.5415,0.0191,0.0001,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s4,1,36000,24000,0.9977,0.1084,0.2154,0.0014,0.9092,0.0009,0.0049,0.9986
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s1,3,16000,24000,0.9158,0.4178,0.8338,0.0017,0.4314,0.0002,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s2,1,12000,24000,0.9339,0.3179,0.6292,0.0065,0.5693,0.0035,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s2,2,12000,24000,0.9038,0.3227,0.6409,0.0044,0.5620,0.0046,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s2,7,36000,24000,0.9927,0.1565,0.3072,0.0058,0.8682,0.0059,0.0009,0.9997
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s2,3,16000,24000,0.9061,0.4048,0.8094,0.0001,0.4485,0.0006,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s3,6,36000,24000,0.9788,0.1148,0.2265,0.0032,0.9035,0.0012,0.0022,0.9994
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s3,1,12000,24000,0.9788,0.2886,0.5771,0.0001,0.6068,0.0099,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s3,2,12000,24000,0.9053,0.3694,0.7386,0.0003,0.4968,0.0104,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s3,3,16000,24000,0.9735,0.2828,0.5630,0.0026,0.6156,0.0016,0.0002,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s4,1,12000,24000,0.9107,0.3483,0.6957,0.0008,0.5258,0.0127,0.0013,0.9998
